@relation Carne
@attribute 'ph' real
@attribute 'L1' real
@attribute 'L2' real
@attribute 'L3' real
@attribute 'XL' real
@attribute 'a1' real
@attribute 'a2' real
@attribute 'a3' real
@attribute 'Xa' real
@attribute 'b1' real
@attribute 'b2' real
@attribute 'b3' real
@attribute 'Xb' real
@attribute 'PAP' real
@attribute 'TMP' real
@attribute 'Type' { 'n14', '14'}
@data
5.88,57.1,53.2,52.3,54.2,6.0,8.0,6.0,6.7,14.7,13.1,12.8,13.5,22.69,0.396,14
5.70,53.4,55.3,55.0,54.6,9.3,6.5,6.9,7.6,15.3,16.4,16.2,16.0,31.26,0.404,14
5.83,51.1,50.3,52.9,51.4,9.0,4.6,6.9,6.8,15.0,11.6,16.2,14.3,29.43,0.428,14
5.82,52.2,53.4,49.1,51.6,8.7,3.1,5.3,5.7,15.0,12.1,12.3,13.1,29.42,0.541,14
5.59,53.5,54.0,54.8,54.1,5.3,5.5,5.4,5.4,14.9,15.6,15.3,15.3,32.84,0.667,14
5.71,55.1,50.6,56.9,54.2,7.6,5.4,6.7,6.6,17.6,13.2,15.8,15.5,28.43,0.422,14
5.68,56.3,56.9,54.9,56.0,7.2,3.7,7.3,6.1,18.2,15.2,15.1,16.2,32.41,0.528,14
5.68,53.8,54.7,55.0,54.5,4.3,4.3,4.0,4.2,12.5,14.9,13.6,13.7,26.36,0.423,14
5.80,52.4,46.6,51.8,50.3,7.3,9.8,8.1,8.4,16.9,15.4,14.6,15.6,30.40,0.408,14
5.77,51.5,51.1,53.2,51.9,7.4,4.9,4.3,5.5,13.3,11.2,12.0,12.2,27.17,0.419,14
5.96,50.4,54.0,51.0,51.8,5.2,6.4,8.8,6.8,12.3,14.0,13.4,13.2,24.73,0.380,14
5.80,52.9,53.6,56.8,54.4,7.0,2.6,3.9,4.5,13.4,11.4,13.0,12.6,33.47,0.277,14
6.01,55.2,50.3,56.6,54.0,5.1,4.5,5.0,4.9,14.1,11.6,14.7,13.5,28.22,0.418,14
6.13,54.0,51.7,56.8,54.2,3.5,2.4,3.1,3.0,11.5,10.6,12.1,11.4,18.06,0.422,14
5.81,54.5,53.3,55.3,54.4,6.2,7.0,4.9,6.0,15.8,16.1,16.2,16.0,30.14,0.618,14
5.67,57.3,55.7,55.7,56.2,4.1,6.7,4.1,5.0,14.8,15.6,13.1,14.5,31.57,0.498,14
5.88,49.5,54.4,56.3,53.4,9.3,5.4,4.7,6.5,13.9,14.5,15.7,14.7,30.39,0.707,14
5.90,51.3,49.4,55.2,52.0,5.7,2.8,3.2,3.9,11.8,9.8,11.7,11.1,27.53,0.440,14
5.63,54.6,54.8,53.8,54.4,6.4,3.8,4.0,4.7,16.1,14.8,12.7,14.5,22.94,0.342,14
5.76,53.4,55.4,56.6,55.1,5.5,6.7,5.1,5.8,13.5,14.0,14.0,13.8,25.41,0.388,14
5.84,56.9,54.7,55.9,55.8,2.8,1.2,2.7,2.2,12.7,10.1,11.0,11.3,25.89,0.467,14
